vehicle_id,origin_id,KEY_CODE,destination_edge,lane_id,current_edge,speed_mps,pos_m,lane_length_m,distance_to_lane_end_m,near_lane_end,current_edge_closed,successor_count,open_successor_count,has_open_path_to_destination,layer
veh_full_origin_0146_0032,origin_0146,5439075533,6104#10,5931#2_0,5931#2,0.0,7.66,37.67,30.01,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0033,origin_0146,5439075533,6104#10,5931#1_0,5931#1,0.0,18.87,18.87,0.0,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0034,origin_0146,5439075533,6104#10,5931#1_0,5931#1,0.0,11.37,18.87,7.5,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0035,origin_0146,5439075533,6104#10,5931#1_0,5931#1,0.0,3.87,18.87,15.0,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0036,origin_0146,5439075533,6104#10,5931#0_0,5931#0,0.0,6.52,9.97,3.45,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0037,origin_0146,5439075533,6104#10,5895#2_0,5895#2,0.0,61.6,69.1,7.5,True,True,4,0,False,physical_isolation
veh_full_origin_0146_0038,origin_0146,5439075533,6104#10,5895#2_0,5895#2,0.0,54.1,69.1,15.0,False,True,4,0,False,physical_isolation
veh_full_origin_0146_0039,origin_0146,5439075533,6104#10,5895#2_0,5895#2,0.0,46.6,69.1,22.5,False,True,4,0,False,physical_isolation
veh_full_origin_0146_0040,origin_0146,5439075533,6104#10,5895#2_0,5895#2,0.0,39.09,69.1,30.01,False,True,4,0,False,physical_isolation
veh_full_origin_0146_0041,origin_0146,5439075533,6104#10,5895#2_0,5895#2,0.0,31.59,69.1,37.51,False,True,4,0,False,physical_isolation
veh_full_origin_0146_0042,origin_0146,5439075533,6104#10,5895#2_0,5895#2,0.0,24.09,69.1,45.01,False,True,4,0,False,physical_isolation
veh_full_origin_0147_0001,origin_0147,5439075534,6104#10,5931#3_0,5931#3,0.0,38.7,38.7,0.0,True,True,1,0,False,physical_isolation
veh_full_origin_0147_0002,origin_0147,5439075534,6104#10,5895#2_0,5895#2,0.0,16.59,69.1,52.51,False,True,4,0,False,physical_isolation
veh_full_origin_0147_0003,origin_0147,5439075534,6104#10,5895#2_0,5895#2,0.0,9.09,69.1,60.01,False,True,4,0,False,physical_isolation
