origin_id,KEY_CODE,type3_vehicle_count,type3_arrived_count,type3_completion_rate,type4_vehicle_count,type4_arrived_count,type4_completion_rate,type34_vehicle_count,type34_arrived_count,type34_completion_rate,assigned_type4_share,population_type4_share,type4_minus_type3_completion_rate
origin_0188,5439077632,2,2,1.0,2,2,1.0,4,4,1.0,0.5,0.4,0.0
origin_0189,5439077633,3,3,1.0,0,0,,3,3,1.0,0.0,0.166667,
origin_0190,5439077642,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.333333,0.0
origin_0192,5439077823,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0193,5439077824,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.285714,0.0
origin_0194,5439077833,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0195,5439077913,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.2,0.0
origin_0196,5439077923,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0197,5439077931,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.222222,0.0
origin_0198,5439077941,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0200,5439078413,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0201,5439078512,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.5,0.0
origin_0203,5439078522,1,1,1.0,7,7,1.0,8,8,1.0,0.875,0.888889,0.0
origin_0204,5439078523,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0205,5439078532,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0206,5439078541,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0207,5439078542,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0208,5439078812,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0210,5439078834,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.375,0.0
origin_0211,5439078921,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.5,0.0
origin_0212,5439078932,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0214,5439079434,4,4,1.0,1,1,1.0,5,5,1.0,0.2,0.3,0.0
origin_0215,5439079512,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0216,5439079521,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0217,5439079522,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.333333,0.0
origin_0218,5439079532,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.222222,0.0
origin_0219,5439079541,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0221,5439079543,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0222,5439079744,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.5,0.0
origin_0223,5439079812,4,4,1.0,2,2,1.0,6,6,1.0,0.333333,0.384615,0.0
origin_0224,5439079814,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0225,5439079822,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0226,5439079831,4,4,1.0,2,2,1.0,6,6,1.0,0.333333,0.307692,0.0
origin_0227,5439079912,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0228,5439079913,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
