city_code,city_name,scenario,vehicle_count,arrived_count,not_arrived_count,reroute_failed_count,long_stopped_count,departure_blocked_count,stranded_main_count,closure_event_count,final_closed_sumo_edge_count,vehicle_log,closure_log,congestion_log,summary,updated_at,run_id
08233,行方市,10pct,7,7,0,0,0,0,0,8,64,output/sumo/regions/08233/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08233/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08233/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08233/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:00:34,
08234,鉾田市,10pct,276,276,0,0,0,0,0,8,2514,output/sumo/regions/08234/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08234/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08234/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08234/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:02:02,
08235,つくばみらい市,10pct,422,422,0,0,0,0,0,8,3757,output/sumo/regions/08235/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08235/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08235/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08235/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:03:09,
08236,小美玉市,10pct,294,294,0,0,0,0,0,8,2272,output/sumo/regions/08236/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08236/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08236/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08236/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:04:30,
08302,茨城町,10pct,442,442,0,0,0,0,0,8,5220,output/sumo/regions/08302/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08302/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08302/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08302/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:05:42,
08309,大洗町,10pct,5,5,0,0,0,0,0,8,0,output/sumo/regions/08309/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08309/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08309/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08309/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:06:04,
08310,城里町,10pct,280,280,0,0,0,0,0,8,12732,output/sumo/regions/08310/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08310/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08310/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08310/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:07:18,
08364,大子町,10pct,349,349,0,0,0,0,0,8,11104,output/sumo/regions/08364/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08364/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08364/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08364/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:08:42,
08442,美浦村,10pct,115,115,0,0,0,0,0,8,876,output/sumo/regions/08442/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08442/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08442/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08442/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:09:10,
08443,阿見町,10pct,249,249,0,0,0,0,0,8,2295,output/sumo/regions/08443/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08443/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08443/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08443/results/scenario_a_10pct_traci_summary.json,2026-05-18T17:10:08,
