timestamp,edge_id
2015-09-11T06:00:00,1429466061_3746011920_0
2015-09-11T06:00:00,1429466061_3746011921_0
2015-09-11T06:00:00,1429466061_3746011968_0
2015-09-11T06:00:00,1429466810_3746011984_0
2015-09-11T06:00:00,1429466810_3746012030_0
2015-09-11T06:00:00,1429466810_3746525636_0
2015-09-11T06:00:00,1429467085_3746525640_0
2015-09-11T06:00:00,1429468868_1429490894_0
2015-09-11T06:00:00,1429490818_1429463023_0
2015-09-11T06:00:00,1429490818_1429490820_0
2015-09-11T06:00:00,1429490818_710663515_0
2015-09-11T06:00:00,1429490820_1429463587_0
2015-09-11T06:00:00,1429490820_1429490818_0
2015-09-11T06:00:00,1429490820_3746011620_0
2015-09-11T06:00:00,1429490834_3746011615_0
2015-09-11T06:00:00,1429490840_4677599562_0
2015-09-11T06:00:00,1429490846_3746011919_0
2015-09-11T06:00:00,1429490846_710665579_0
2015-09-11T06:00:00,1429490889_3747375047_0
2015-09-11T06:00:00,1429490889_546648491_0
2015-09-11T06:00:00,1429490894_1429468868_0
2015-09-11T06:00:00,1429490894_3747375080_0
2015-09-11T06:00:00,1429490894_546648491_0
2015-09-11T06:00:00,1429490904_2087802667_0
2015-09-11T06:00:00,1429490904_3748708344_0
2015-09-11T06:00:00,1429490904_546648488_0
2015-09-11T06:00:00,1429490910_546648486_0
2015-09-11T06:00:00,1429508216_1429603185_0
2015-09-11T06:00:00,1429508635_1429509052_0
2015-09-11T06:00:00,1429508635_1429509743_0
2015-09-11T06:00:00,1429508811_3747917525_0
2015-09-11T06:00:00,1429509052_1429508635_0
2015-09-11T06:00:00,1429509141_1429509819_0
2015-09-11T06:00:00,1429509533_1429509743_0
2015-09-11T06:00:00,1429509558_1429509787_0
2015-09-11T06:00:00,1429509743_1429508635_0
2015-09-11T06:00:00,1429509743_1429509533_0
2015-09-11T06:00:00,1429509787_1429509558_0
2015-09-11T06:00:00,1429509819_1429509141_0
2015-09-11T06:00:00,1429509819_1429510242_0
2015-09-11T06:00:00,1429509819_1429601767_0
2015-09-11T06:00:00,1429509862_1429510020_0
2015-09-11T06:00:00,1429509862_1429510242_0
2015-09-11T06:00:00,1429509862_8215549940_0
2015-09-11T06:00:00,1429510020_12810906867_0
2015-09-11T06:00:00,1429510020_1429509862_0
2015-09-11T06:00:00,1429510020_8867254163_0
2015-09-11T06:00:00,1429510234_1429510282_0
2015-09-11T06:00:00,1429510234_6104655331_0
2015-09-11T06:00:00,1429510234_8867254174_0
2015-09-11T06:00:00,1429510242_1429509819_0
2015-09-11T06:00:00,1429510242_1429509862_0
2015-09-11T06:00:00,1429510242_1429510581_0
2015-09-11T06:00:00,1429510282_1429510234_0
2015-09-11T06:00:00,1429510282_2087802537_0
2015-09-11T06:00:00,1429510282_8867254174_0
2015-09-11T06:00:00,1429510581_1429510242_0
2015-09-11T06:00:00,1429510581_1429510989_0
2015-09-11T06:00:00,1429510581_1429601768_0
2015-09-11T06:00:00,1429510989_1429510581_0
2015-09-11T06:00:00,1429511443_4623534403_0
2015-09-11T06:00:00,1429511893_4623534403_0
2015-09-11T06:00:00,1429517125_2133885462_0
2015-09-11T06:00:00,1429517143_1429517145_0
2015-09-11T06:00:00,1429517143_1429517742_0
2015-09-11T06:00:00,1429517145_12810906272_0
2015-09-11T06:00:00,1429517145_1429517143_0
2015-09-11T06:00:00,1429517145_1695391443_0
2015-09-11T06:00:00,1429517718_1429603198_0
2015-09-11T06:00:00,1429517742_1429517143_0
2015-09-11T06:00:00,1429517742_1429517970_0
2015-09-11T06:00:00,1429517742_2133885462_0
2015-09-11T06:00:00,1429517799_1429518247_0
2015-09-11T06:00:00,1429517799_2133885462_0
2015-09-11T06:00:00,1429517970_1429517742_0
2015-09-11T06:00:00,1429518247_1429517799_0
2015-09-11T06:00:00,1429518247_1429518253_0
2015-09-11T06:00:00,1429518247_1429518435_0
2015-09-11T06:00:00,1429518253_1429518247_0
2015-09-11T06:00:00,1429518435_1429518247_0
2015-09-11T06:00:00,1429518435_1429518539_0
2015-09-11T06:00:00,1429518435_1429519075_0
2015-09-11T06:00:00,1429518539_1429518435_0
2015-09-11T06:00:00,1429518971_2087802561_0
2015-09-11T06:00:00,1429519075_1429518435_0
2015-09-11T06:00:00,1429519075_1429519114_0
2015-09-11T06:00:00,1429519075_1429519676_0
2015-09-11T06:00:00,1429519095_1429519187_0
2015-09-11T06:00:00,1429519114_1429519075_0
2015-09-11T06:00:00,1429519187_1429519095_0
2015-09-11T06:00:00,1429519676_1429519075_0
2015-09-11T06:00:00,1429519676_1695391453_0
2015-09-11T06:00:00,1429519715_1429603199_0
2015-09-11T06:00:00,1429520674_1429520677_0
2015-09-11T06:00:00,1429520674_1429521745_0
2015-09-11T06:00:00,1429520677_1429520674_0
2015-09-11T06:00:00,1429520677_1429601786_0
2015-09-11T06:00:00,1429520677_3742778347_0
2015-09-11T06:00:00,1429521745_1429520674_0
2015-09-11T06:00:00,1429521745_1429522565_0
2015-09-11T06:00:00,1429521745_1429601789_0
2015-09-11T06:00:00,1429522016_6126171379_0
2015-09-11T06:00:00,1429522565_1429521745_0
2015-09-11T06:00:00,1429522565_1429601792_0
2015-09-11T06:00:00,1429522565_3742362018_0
2015-09-11T06:00:00,1429522565_6126186608_0
2015-09-11T06:00:00,1429601767_1429509819_0
2015-09-11T06:00:00,1429601768_1429510581_0
2015-09-11T06:00:00,1429601786_1429520677_0
2015-09-11T06:00:00,1429601789_1429521745_0
2015-09-11T06:00:00,1429601792_1429522565_0
